"COMPLEX_CATEGORY","COMPLEX_NAME","FACILITY_TYPE","FACILITY_NAME","TIER","ADDRESS","TYP_OF_ORG","ORG","STEWARD","OPER","LABEL","WEBSITE","PHONE","NOTES","ACTIVE_LIVING_PROGRAM","GYM","GYMNAST_FAC","FITNSS_WGHT","FIT_STUDIO","MULTI_PURP_ROOMS","MEET_ROOMS","INDR_POOL","OUTDR_POOL","FW_25M","FW_50M","FW_18M","LANES_POOL","TEACH_POOL","WAVE_POOL","OTHER_POOL","INDR_WAD_POOL","DIVING_TANK","SPRINGBOARD","PLATFORM","DIVE_SLIDE","PLAY_SLIDE","ROPE_SWING","STEAM","HOT_TUB","SAUNA","CLIMB_WALL","TRACK_INDR","OUTDR_WAD_POOL","SPRAY_PARK","ICE_INDR","STAND_ICE","NHL_ICE","OLYMP_ICE","FIG_SKATING","CURL_RNK","CURL_SHEETS","INDR_SURFACE","INDR_TURF","DRY_PAD","RACQFAC_INDR","SQUASH_CRTS","RAQBALL_CRTS","BADMINT_CRTS","TENNIS_CRT","OUTDR_FIELD","ARTF_TURF_OUTDR","DIAM_FAC_OUTDR","TRACK_OUTDR","PUBLIC_GLF","SEMI_PRIV_GLF","HOLE_18","HOLE_9","DRIVERANG_OUTDR","DRIVERANG_INDR","SKI_NORDICTRCK","MUNICPAL_OP","NOTPROFIT_OP","PROFIT_OP","PRIVATE_OP","POINT"
"Leisure Centre Arenas","Village Square and Wally Kozak Arenas","Arena","Ice",,"2623 56 ST NE","Municipal","Recreation","Recreation","Recreation","Wally Kozak Arena","https://www.calgary.ca/rec-locations/pools/village-square-arenas.html","311","200' x 85' ice rink with 50 seat capacity, and dry pad activities from Apr. 10 - Jul. 24","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-113.9549218 51.0754928)"
,"Cardel Rec South","Arena",,,"#101 333 SHAWVILLE BV SE","Not-for-Profit","SFCRA","Parks","South Fish Creek Rec Association","Cardel Rec South","https://www.cardelrec.com/","403-201-8652","4 ice rinks, gymnasium, 3 multi-purpose meeting rooms, Shawnessy YMCA","N","1","N","N","0","3","3","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","0","4","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.0636821 50.897025)"
"Arenas (except Leisure Centre arenas)","Rose Kohn and Jimmy Condon Arenas","Arena","Ice",,"502 HERITAGE DR SW","Municipal","Recreation","Recreation","Recreation","Rose Kohn Arena","https://www.calgary.ca/rec-locations/arenas/rose-kohn.html","311","185' x 85' ice rink with 220 seat capacity","N","0","N","N","0","0","2","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0749091 50.9804818)"
"Aquatic & Fitness Centres","Inglewood Aquatic Centre","Aquatic & Fitness Centre",,"1","1525 17 AV SE","Municipal","Recreation","Recreation","Recreation","Inglewood Aquatic Centre","https://www.calgary.ca/rec-locations/pools/inglewood.html","311","Six-lane, 25m pool, aquatic climbing wall, dry sauna and multipurpose room","Y","0","N","N","0","0","0","Y","N","1","0","0","6","N","N","N","N","N","N","N","0","1","Y","N","N","N","Y","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0286761 51.0374477)"
"Art Centres","Wildflower Arts Centre","Art Centre",,,"3363 SPRUCE DR SW","Municipal","Recreation","Private","Recreation","Wildflower Arts Centre","https://www.calgary.ca/rec-locations/arts-centres/wildflower.html","403-249-3773","Three visual art studios, ceramics studio, electric kilns, and a 3,200 sq. ft. dance and drama studio","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1355481 51.0462792)"
,"Millican-Ogden Outdoor Pool","Outdoor Pool",,,"6901 20A ST SE","Not-for-Profit","COSPA","Recreation","COSPA","Millican-Ogden Outdoor Pool","https://www.calgaryoutdoorpools.ca/","403-207-5665","25m pool (8 lane)","N","0","N","N","0","0","0","N","Y","1","0","0","8","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-114.0118348 50.9912369)"
,"Shane Homes YMCA at Rocky Ridge","Leisure Centre",,,"11300 ROCKY RIDGE RD NW","Not-for-Profit","YMCA","Recreation","YMCA Calgary","Shane Homes YMCA at Rocky Ridge","https://www.ymcacalgary.org/locations/shane-homes-ymca-rocky-ridge","403-351-6673","25m pool, wave pool, 'lazy river', NHL ice, leisure rink, 3 gyms, strength and conditioning centre, 180m running track, climbing wall, 3 fitness studios","Y","3","N","Y","3","0","0","Y","N","1","0","0","8","N","Y","N","N","N","N","N","0","0","N","N","Y","N","Y","Y","N","N","Y","0","1","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.2315126 51.1571631)"
,"Bowness Skatepark","Skate Park",,,"4324 77 ST NW","Municipal","Parks","Parks","Parks","Bowness Skatepark","https://www.calgary.ca/rec-locations/skate-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1987784 51.090333)"
,"Lake Bonavista Community Association","Arena",,,"1401 ACADIA DR SE","Not-for-Profit","CA","Recreation","Lake Bonavista CA","Lake Bonavista Community Association","http://thelbca.ca/","403-271-7107","2 ice rinks, gym, fitness studio, meeting rooms","N","1","N","N","1","0","2","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","2","0","0","Y","N","0","N","0","0","N","0","0","4","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.0491836 50.9368986)"
,"Silver Springs Outdoor Pool","Outdoor Pool",,,"5720 SILVER RIDGE DR NW","Not-for-Profit","COSPA","Recreation","Silver Springs CA","Silver Springs Outdoor Pool","https://www.calgaryoutdoorpools.ca/","403-221-3897","33m pool with 1m springboard and a 3m platform","N","0","N","N","0","0","0","N","Y","1","0","0","6","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-114.1923556 51.1040506)"
,"MNP Community & Sport Centre","Leisure Centre",,,"2225 MACLEOD TR SE","Not-for-Profit","Civic Partner","Recreation","Lindsay Park Sports Society","MNP Community & Sport Centre","https://mnpcentre.com/","403-233-8393","2 - 50m pools, teach pool, dive tank, 5 gyms, track, fitness/weights, 2 fitness studios, racquetball, badminton, hot tub, stream room","Y","5","N","Y","5","0","0","Y","N","0","2","0","8","Y","N","N","N","Y","Y","Y","0","0","N","Y","Y","N","N","Y","N","N","N","0","0","0","N","N","0","N","0","0","Y","0","0","10","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.0633585 51.0345836)"
"Leisure Centre Arenas","Ed Whalen and Joseph Kryczka Arenas","Arena","Ice",,"2000 SOUTHLAND DR SW","Municipal","Recreation","Recreation","Recreation","Ed Whalen Arena","https://www.calgary.ca/rec-locations/pools/southland-arenas.html","311","200' x 85' ice rink with 65 seat capacity","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1073776 50.9623775)"
"Athletic Parks","Woodbine Athletic Park","Athletic Park",,,"96 WOODFIELD DR SW","Municipal","Recreation","Recreation","Recreation","Woodbine Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/woodbine.html","311","Two regulation soccer fields, and two softball diamonds (250')","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","0","Y","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.119739 50.9373757)"
,"New Brighton Skatepark","Skate Park",,,"5801 130 AV SE","Municipal","Parks","Recreation","Parks","New Brighton Skatepark","https://www.calgary.ca/rec-locations/skate-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","N","N","N","POINT (-113.9472 50.9283592)"
,"Huntington Hills Community Association","Arena",,,"520 78 AV NW","Not-for-Profit","CA","Parks","Huntington Hills CA","Huntington Hills Community Association","https://huntingtonhillscommunity.ca/","403-275-6666","Ice rink, curling (8 sheets), meeting room, main hall","N","0","N","N","0","0","1","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","Y","Y","8","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.0723571 51.1237561)"
"Leisure Centres (except Arenas)","Village Square Leisure Centre","Leisure Centre - Municipal",,,"2623 56 ST NE","Municipal","Recreation","Recreation","Recreation","Village Square Leisure Centre","https://www.calgary.ca/rec-locations/pools/village-square.html","403-366-3900","Arenas, cardio equipment, dive tank, fitness studio, gymnasium, hot tub, kiddie pool, multipurpose rooms, splash zone, steam room, water park and wave pool","Y","1","N","Y","2","0","2","Y","N","0","0","0","0","N","Y","N","N","Y","Y","N","0","3","Y","Y","Y","N","N","N","N","N","N","2","0","0","N","N","0","Y","0","2","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-113.9544517 51.0760209)"
"Aquatic & Fitness Centres","Canyon Meadows Aquatic & Fitness Centre","Aquatic & Fitness Centre",,"2","89 CANOVA RD SW","Municipal","Recreation","Recreation","Recreation","Canyon Meadows Aquatic & Fitness Centre","https://www.calgary.ca/rec-locations/pools/canyon-meadows.html","311","Six-lane, 25m pool, dive tank with 1.5m diving board & vortex water slide, hot tub, steam room, weight room, cardio equipment, fitness studio and multipurpose room","Y","0","N","Y","1","0","0","Y","N","1","0","0","6","N","N","N","N","Y","N","N","1","0","N","Y","Y","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.08953 50.9484097)"
"Athletic Parks","Pop Davies Athletic Park","Athletic Park",,,"6415 OGDEN RD SE","Municipal","Recreation","Recreation","Recreation","Pop Davies Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/pop-davies.html","311","Two regulation soccer fields, and five softball diamonds","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","0","Y","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0085882 50.9962749)"
,"Bowview Outdoor Pool & Wading Pool","Outdoor Pool",,,"1910 6 AV NW","Not-for-Profit","COSPA","Recreation","COSPA","Bowview Outdoor Pool & Wading Pool","https://www.calgaryoutdoorpools.ca/","403-207-5665","25m pool (6 lane), wading pool with mushroom waterfall","N","0","N","N","0","0","0","N","Y","1","0","0","6","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","Y","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-114.102984 51.057977)"
"Athletic Parks","Acadia Athletic Park","Athletic Park",,,"295 90 AV SE","Municipal","Recreation","Recreation","Recreation","Acadia Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/acadia.html","311","Sports field, and two flag football fields","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0629633 50.9710322)"
,"Forest Lawn Outdoor Pool & Wading Pool","Outdoor Pool",,,"1706 39 ST SE","Not-for-Profit","COSPA","Recreation","COSPA","Forest Lawn Outdoor Pool & Wading Pool","https://www.calgaryoutdoorpools.ca/","403-207-5665","25m pool (8 lane), wading pool with spray features (spray ring and floor nozzles)","N","0","N","N","0","0","0","N","Y","1","0","0","8","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","Y","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-113.9763944 51.0387613)"
